,Weight,Asset_Class
AGG,9.045183941565042e-11,US Aggregate Bonds
BNDX,1.4818766754499726e-10,International Bonds
EEM,1.5106040317295752e-10,Emerging Markets
GLD,0.40225769479426354,Gold
GSG,2.775323509893774e-10,Commodities
LQD,1.5910961764387182e-10,Corporate Bonds
SLV,1.713450388413312e-09,Silver
SPY,0.5977423015500916,US Equities
TLT,6.241209321416578e-11,Long-Term Treasury
VGK,3.708958811002022e-10,European Equities
VNQ,3.8454208286371723e-10,Real Estate
VPL,2.980033965875804e-10,Asia-Pacific
